"country","score","media"
"Australia","8.71",137.557894736842
"Canada","8,88",138.839628482972
"Switzerland","9.14",142.184210526316
"Denmark","9.28",145.437770897833
"Finland","9.29",144.442105263158
"Iceland","9.52",141.498947368421
"Netherlands","9",141.181578947368
"Norway","9.81",141.789473684211
"New Zealand","9.61",138.078947368421
"Sweden","9.39",139.764705882353
"Afghanistan",".32",64.1774436090226
"Burundi","2.13",67.2631578947368
"Central African Republic","1.35",66.618947368421
"Comoros","3.20",73.6781954887218
"Rwanda","3.10",69.2368421052632
"South Sudan","",64.4684210526316
"Togo","2.99",69.2095693779904
"Tanzania","5.1",70.0383900928793
"Yemen","1.95",74.1473684210526
"Zimbabwe","2.92",72
